label,dataset,status_C0,wall_time_C0,node_count_C0,status_C1,wall_time_C1,node_count_C1,status_C2,wall_time_C2,node_count_C2,status_C3,wall_time_C3,node_count_C3,status_C4,wall_time_C4,node_count_C4
pel_24,PELLETIER,NODE_LIMIT,7.912221700000373,200000.0,NODE_LIMIT,10.799913599999854,200000.0,NODE_LIMIT,11.050286800000322,200000.0,TIMEOUT,30.004548099999738,189417.0,NODE_LIMIT,18.307280699998955,200000.0
pel_26,PELLETIER,NODE_LIMIT,15.999220699999569,200000.0,NODE_LIMIT,8.764344199998959,200000.0,NODE_LIMIT,8.180096000000049,200000.0,TIMEOUT,30.00311529999999,165614.0,TIMEOUT,30.013532300001316,141946.0
pel_27,PELLETIER,NODE_LIMIT,10.65136320000056,200000.0,NODE_LIMIT,22.430892700000186,200000.0,NODE_LIMIT,15.654108800001268,200000.0,TIMEOUT,30.00210220000008,186420.0,TIMEOUT,30.007018700000117,198875.0
pel_28,PELLETIER,NODE_LIMIT,5.166505299999699,200000.0,PROVED,0.42168109999875014,2352.0,PROVED,0.35836229999949865,2352.0,PROVED,0.2749743000003946,975.0,PROVED,0.16933659999995143,975.0
pel_29,PELLETIER,NODE_LIMIT,6.317340499999773,200000.0,NODE_LIMIT,12.489222199999858,200000.0,NODE_LIMIT,7.081581700000243,200000.0,TIMEOUT,30.007853000000978,137598.0,TIMEOUT,30.014383400000952,184708.0
pel_3,PELLETIER,PROVED,0.000128400000903639,5.0,PROVED,0.00016260000120382756,5.0,PROVED,0.00017630000002100132,5.0,PROVED,0.00014340000052470714,5.0,PROVED,0.0001646999990043696,5.0
pel_30,PELLETIER,TIMEOUT,30.034566500000437,196028.0,NODE_LIMIT,14.181461599999238,200000.0,NODE_LIMIT,23.425576999999976,200000.0,TIMEOUT,30.009349199999633,76666.0,TIMEOUT,30.03425849999985,73468.0
pel_31,PELLETIER,NODE_LIMIT,6.912689500000852,200000.0,NODE_LIMIT,19.063989199999924,200000.0,NODE_LIMIT,19.19882630000029,200000.0,TIMEOUT,30.001777299999958,149188.0,TIMEOUT,30.003963700000895,126558.0
pel_32,PELLETIER,NODE_LIMIT,7.462875900000654,200000.0,NODE_LIMIT,11.773633700000573,200000.0,NODE_LIMIT,11.833749999999782,200000.0,TIMEOUT,30.013026000000536,168046.0,TIMEOUT,30.001441100001102,182119.0
pel_33,PELLETIER,PROVED,0.0025306000006821705,71.0,PROVED,0.002955600000859704,71.0,PROVED,0.0030115999998088228,71.0,PROVED,0.0027171999990969198,46.0,PROVED,0.002822000000378466,46.0
pel_34,PELLETIER,NODE_LIMIT,25.252086399999826,200000.0,NODE_LIMIT,14.946167699999933,200000.0,NODE_LIMIT,14.636009200001354,200000.0,NODE_LIMIT,22.74781410000105,200000.0,TIMEOUT,30.01823400000103,175462.0
